name,default_unit,dimension,description
ActivePower,MW,power,"Active power"
ReactivePower,MVAr,power,"Reactive power"
ApparentPower,MVA,power,"Apparent power"
ActivePowerChangeRate,MW/min,power_rate,"Rate of change of active power"
RealEnergy,MWh,energy,"Real energy"
Voltage,kV,voltage,Voltage
CurrentFlow,kA,current,"Current flow"
Resistance,ohm,impedance,Resistance
Reactance,ohm,impedance,Reactance
Impedance,ohm,impedance,Impedance
Conductance,S,admittance,Conductance
Susceptance,S,admittance,Susceptance
AngleDegrees,deg,angle,"Angle in degrees"
AngleRadians,rad,angle,"Angle in radians"
Frequency,Hz,frequency,Frequency
Length,km,length,Length
Elevation,m,length,Elevation
Duration,h,time,"Duration in hours"
DurationSeconds,s,time,"Duration in seconds"
PerUnit,pu,dimensionless,"Per-unit quantity"
Dimensionless,1,dimensionless,"Dimensionless quantity"
Fraction,1,dimensionless,"Fractional quantity (efficiency, losses, etc.)"
PowerFactor,1,dimensionless,"Power factor"
HeatRate,MMBtu/MWh,heat_rate,"Heat rate"
VolumeFlowRate,m3/s,volume_flow,"Volume flow rate"
Volume,m3,volume,Volume
Inductance,H,inductance,Inductance
Capacitance,F,capacitance,Capacitance
CostPerEnergyUnit,USD/MWh,cost_rate,"Cost per unit of energy"
CapitalCost,USD/MW,cost_rate,"Capital cost per unit of capacity"
OperationCost,USD/MWh,cost_rate,"Operational cost per unit of energy"
CO2Emissions,t/MMBtu,emissions,"CO2 emission rate"
Money,USD,currency,"Monetary value"
Temperature,degC,temperature,Temperature
