table_name,column_name,quantity_type,unit,is_per_unit,per_unit_base_column,description,discriminator_column,discriminator_value
transmission_lines,continuous_rating,ApparentPower,MVA,0,,"Continuous thermal rating",,
transmission_lines,ste_rating,ApparentPower,MVA,0,,"Short-term emergency rating",,
transmission_lines,lte_rating,ApparentPower,MVA,0,,"Long-term emergency rating",,
transmission_lines,line_length,Length,km,0,,"Line length",,
transmission_interchanges,max_flow_from,ActivePower,MW,0,,"Maximum flow from",,
transmission_interchanges,max_flow_to,ActivePower,MW,0,,"Maximum flow to",,
thermal_generators,rating,ApparentPower,MVA,0,,"Nameplate rating",,
thermal_generators,base_power,ActivePower,MW,0,,"Per-unit base for this device",,
thermal_generators,active_power,ActivePower,MW,0,,"Initial active power setpoint",,
thermal_generators,reactive_power,ReactivePower,MVAr,0,,"Initial reactive power setpoint",,
thermal_generators,active_power_limits,ActivePower,MW,0,,"JSON {min, max}",,
thermal_generators,reactive_power_limits,ReactivePower,MVAr,0,,"JSON {min, max}",,
thermal_generators,ramp_limits,ActivePowerChangeRate,MW/min,0,,"JSON {up, down}",,
thermal_generators,time_limits,Duration,h,0,,"JSON {up, down}",,
thermal_generators,operation_cost,OperationCost,USD/MWh,0,,"Operation cost structure",,
renewable_generators,rating,ApparentPower,MVA,0,,"Nameplate rating",,
renewable_generators,base_power,ActivePower,MW,0,,"Per-unit base for this device",,
renewable_generators,power_factor,PowerFactor,1,0,,"Power factor",,
renewable_generators,active_power,ActivePower,MW,0,,"Initial active power setpoint",,
renewable_generators,reactive_power,ReactivePower,MVAr,0,,"Initial reactive power setpoint",,
renewable_generators,reactive_power_limits,ReactivePower,MVAr,0,,"JSON {min, max}",,
renewable_generators,operation_cost,OperationCost,USD/MWh,0,,"Operation cost structure",,
hydro_generators,rating,ApparentPower,MVA,0,,"Nameplate rating",,
hydro_generators,base_power,ActivePower,MW,0,,"Per-unit base for this device",,
hydro_generators,active_power,ActivePower,MW,0,,"Initial active power setpoint",,
hydro_generators,reactive_power,ReactivePower,MVAr,0,,"Initial reactive power setpoint",,
hydro_generators,active_power_limits,ActivePower,MW,0,,"JSON {min, max}",,
hydro_generators,reactive_power_limits,ReactivePower,MVAr,0,,"JSON {min, max}",,
hydro_generators,ramp_limits,ActivePowerChangeRate,MW/min,0,,"JSON {up, down}",,
hydro_generators,time_limits,Duration,h,0,,"JSON {up, down}",,
hydro_generators,powerhouse_elevation,Elevation,m,0,,"Powerhouse elevation",,
hydro_generators,outflow_limits,VolumeFlowRate,m3/s,0,,"JSON {min, max}",,
hydro_generators,conversion_factor,Dimensionless,1,0,,"Conversion factor",,
hydro_generators,travel_time,Duration,h,0,,"Water travel time",,
hydro_generators,operation_cost,OperationCost,USD/MWh,0,,"Operation cost structure",,
storage_units,rating,ApparentPower,MVA,0,,"Nameplate rating",,
storage_units,base_power,ActivePower,MW,0,,"Per-unit base for this device",,
storage_units,storage_capacity,RealEnergy,MWh,0,,"Total storage capacity",,
storage_units,storage_level_limits,RealEnergy,MWh,0,,"JSON {min, max}",,
storage_units,initial_storage_capacity_level,RealEnergy,MWh,0,,"Initial storage level",,
storage_units,input_active_power_limits,ActivePower,MW,0,,"JSON {min, max} charging",,
storage_units,output_active_power_limits,ActivePower,MW,0,,"JSON {min, max} discharging",,
storage_units,efficiency,Dimensionless,1,0,,"JSON {in, out}",,
storage_units,reactive_power_limits,ReactivePower,MVAr,0,,"JSON {min, max}",,
storage_units,active_power,ActivePower,MW,0,,"Initial active power setpoint",,
storage_units,reactive_power,ReactivePower,MVAr,0,,"Initial reactive power setpoint",,
storage_units,conversion_factor,Dimensionless,1,0,,"Conversion factor",,
storage_units,storage_target,RealEnergy,MWh,0,,"Storage target level",,
storage_units,operation_cost,OperationCost,USD/MWh,0,,"Operation cost structure",,
hydro_reservoirs,storage_level_limits,Volume,m3,0,,"JSON {min, max}",level_data_type,USABLE_VOLUME
hydro_reservoirs,storage_level_limits,Volume,m3,0,,"JSON {min, max}",level_data_type,TOTAL_VOLUME
hydro_reservoirs,storage_level_limits,Elevation,m,0,,"JSON {min, max}",level_data_type,HEAD
hydro_reservoirs,storage_level_limits,RealEnergy,MWh,0,,"JSON {min, max}",level_data_type,ENERGY
hydro_reservoirs,initial_level,Volume,m3,0,,"Initial reservoir level",level_data_type,USABLE_VOLUME
hydro_reservoirs,initial_level,Volume,m3,0,,"Initial reservoir level",level_data_type,TOTAL_VOLUME
hydro_reservoirs,initial_level,Elevation,m,0,,"Initial reservoir level",level_data_type,HEAD
hydro_reservoirs,initial_level,RealEnergy,MWh,0,,"Initial reservoir level",level_data_type,ENERGY
hydro_reservoirs,spillage_limits,VolumeFlowRate,m3/s,0,,"JSON {min, max}",level_data_type,USABLE_VOLUME
